feature,importance,fold
BURO_CREDIT_ACTIVE_Sold_MEAN,23,1
BURO_CREDIT_ACTIVE_nan_MEAN,0,1
BURO_CREDIT_CURRENCY_currency_1_MEAN,7,1
BURO_CREDIT_CURRENCY_currency_2_MEAN,0,1
BURO_CREDIT_CURRENCY_currency_3_MEAN,0,1
BURO_CREDIT_CURRENCY_currency_4_MEAN,0,1
BURO_CREDIT_CURRENCY_nan_MEAN,0,1
BURO_CREDIT_TYPE_Another_type_of_loan_MEAN,9,1
BURO_CREDIT_TYPE_Car_loan_MEAN,48,1
BURO_CREDIT_TYPE_Cash_loan_non_earmarked__MEAN,0,1
BURO_CREDIT_TYPE_Consumer_credit_MEAN,58,1
BURO_CREDIT_TYPE_Credit_card_MEAN,59,1
BURO_CREDIT_TYPE_Interbank_credit_MEAN,0,1
BURO_CREDIT_TYPE_Loan_for_business_development_MEAN,0,1
BURO_CREDIT_TYPE_Loan_for_purchase_of_shares_margin_lending__MEAN,0,1
BURO_CREDIT_TYPE_Loan_for_the_purchase_of_equipment_MEAN,0,1
BURO_CREDIT_TYPE_Loan_for_working_capital_replenishment_MEAN,0,1
BURO_CREDIT_TYPE_Microloan_MEAN,72,1
BURO_CREDIT_TYPE_Mobile_operator_loan_MEAN,0,1
BURO_CREDIT_TYPE_Mortgage_MEAN,65,1
BURO_CREDIT_TYPE_Real_estate_loan_MEAN,0,1
BURO_CREDIT_TYPE_Unknown_type_of_loan_MEAN,0,1
BURO_CREDIT_TYPE_nan_MEAN,0,1
BURO_STATUS_0_MEAN_MEAN,60,1
BURO_STATUS_1_MEAN_MEAN,41,1
BURO_STATUS_2_MEAN_MEAN,6,1
BURO_STATUS_3_MEAN_MEAN,1,1
BURO_STATUS_4_MEAN_MEAN,2,1
BURO_STATUS_5_MEAN_MEAN,3,1
BURO_STATUS_C_MEAN_MEAN,44,1
BURO_STATUS_X_MEAN_MEAN,35,1
BURO_STATUS_nan_MEAN_MEAN,0,1
ACTIVE_DAYS_CREDIT_MIN,71,1
ACTIVE_DAYS_CREDIT_MAX,235,1
ACTIVE_DAYS_CREDIT_MEAN,155,1
ACTIVE_DAYS_CREDIT_VAR,103,1
ACTIVE_DAYS_CREDIT_ENDDATE_MIN,238,1
ACTIVE_DAYS_CREDIT_ENDDATE_MAX,166,1
ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,130,1
ACTIVE_DAYS_CREDIT_UPDATE_MEAN,121,1
ACTIVE_CREDIT_DAY_OVERDUE_MAX,0,1
ACTIVE_CREDIT_DAY_OVERDUE_MEAN,2,1
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,77,1
ACTIVE_AMT_CREDIT_SUM_MAX,90,1
ACTIVE_AMT_CREDIT_SUM_MEAN,76,1
ACTIVE_AMT_CREDIT_SUM_SUM,163,1
ACTIVE_AMT_CREDIT_SUM_DEBT_MAX,60,1
ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,106,1
ACTIVE_AMT_CREDIT_SUM_DEBT_SUM,116,1
ACTIVE_AMT_CREDIT_SUM_OVERDUE_MEAN,41,1
ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN,114,1
ACTIVE_AMT_CREDIT_SUM_LIMIT_SUM,51,1
ACTIVE_AMT_ANNUITY_MAX,24,1
ACTIVE_AMT_ANNUITY_MEAN,31,1
ACTIVE_CNT_CREDIT_PROLONG_SUM,0,1
ACTIVE_MONTHS_BALANCE_MIN_MIN,19,1
ACTIVE_MONTHS_BALANCE_MAX_MAX,13,1
ACTIVE_MONTHS_BALANCE_SIZE_MEAN,62,1
ACTIVE_MONTHS_BALANCE_SIZE_SUM,28,1
ACTIVE_STATUS_SCORE_MAX_MAX,5,1
ACTIVE_STATUS_SCORE_MAX_MEAN,11,1
ACTIVE_STATUS_SCORE_MEAN_MEAN,17,1
ACTIVE_STATUS_SCORE_RECENT6_MEAN_MEAN,17,1
ACTIVE_STATUS_SCORE_TREND_MEAN,5,1
ACTIVE_STATUS_SCORE_TREND_MAX,6,1
CLOSED_DAYS_CREDIT_MIN,31,1
CLOSED_DAYS_CREDIT_MAX,149,1
CLOSED_DAYS_CREDIT_MEAN,50,1
CLOSED_DAYS_CREDIT_VAR,87,1
CLOSED_DAYS_CREDIT_ENDDATE_MIN,44,1
CLOSED_DAYS_CREDIT_ENDDATE_MAX,125,1
CLOSED_DAYS_CREDIT_ENDDATE_MEAN,83,1
CLOSED_DAYS_CREDIT_UPDATE_MEAN,74,1
CLOSED_CREDIT_DAY_OVERDUE_MAX,0,1
CLOSED_CREDIT_DAY_OVERDUE_MEAN,0,1
CLOSED_AMT_CREDIT_MAX_OVERDUE_MEAN,66,1
CLOSED_AMT_CREDIT_SUM_MAX,86,1
CLOSED_AMT_CREDIT_SUM_MEAN,125,1
CLOSED_AMT_CREDIT_SUM_SUM,90,1
CLOSED_AMT_CREDIT_SUM_DEBT_MAX,46,1
CLOSED_AMT_CREDIT_SUM_DEBT_MEAN,7,1
CLOSED_AMT_CREDIT_SUM_DEBT_SUM,2,1
CLOSED_AMT_CREDIT_SUM_OVERDUE_MEAN,0,1
CLOSED_AMT_CREDIT_SUM_LIMIT_MEAN,10,1
CLOSED_AMT_CREDIT_SUM_LIMIT_SUM,5,1
CLOSED_AMT_ANNUITY_MAX,42,1
CLOSED_AMT_ANNUITY_MEAN,21,1
CLOSED_CNT_CREDIT_PROLONG_SUM,0,1
CLOSED_MONTHS_BALANCE_MIN_MIN,20,1
CLOSED_MONTHS_BALANCE_MAX_MAX,3,1
CLOSED_MONTHS_BALANCE_SIZE_MEAN,51,1
CLOSED_MONTHS_BALANCE_SIZE_SUM,25,1
CLOSED_STATUS_SCORE_MAX_MAX,2,1
CLOSED_STATUS_SCORE_MAX_MEAN,28,1
CLOSED_STATUS_SCORE_MEAN_MEAN,29,1
CLOSED_STATUS_SCORE_RECENT6_MEAN_MEAN,5,1
CLOSED_STATUS_SCORE_TREND_MEAN,25,1
CLOSED_STATUS_SCORE_TREND_MAX,14,1
PREV_AMT_ANNUITY_MIN,75,1
PREV_AMT_ANNUITY_MAX,77,1
PREV_AMT_ANNUITY_MEAN,99,1
PREV_AMT_APPLICATION_MIN,35,1
PREV_AMT_APPLICATION_MAX,22,1
PREV_AMT_APPLICATION_MEAN,52,1
PREV_AMT_CREDIT_MIN,39,1
PREV_AMT_CREDIT_MAX,62,1
PREV_AMT_CREDIT_MEAN,81,1
PREV_APP_CREDIT_PERC_MIN,94,1
PREV_APP_CREDIT_PERC_MAX,65,1
PREV_APP_CREDIT_PERC_MEAN,103,1
PREV_APP_CREDIT_PERC_VAR,91,1
PREV_AMT_DOWN_PAYMENT_MIN,20,1
PREV_AMT_DOWN_PAYMENT_MAX,64,1
PREV_AMT_DOWN_PAYMENT_MEAN,40,1
PREV_AMT_GOODS_PRICE_MIN,47,1
PREV_AMT_GOODS_PRICE_MAX,26,1
PREV_AMT_GOODS_PRICE_MEAN,44,1
PREV_HOUR_APPR_PROCESS_START_MIN,17,1
PREV_HOUR_APPR_PROCESS_START_MAX,29,1
PREV_HOUR_APPR_PROCESS_START_MEAN,88,1
